timestamp,engine_rpm,vehicle_speed_kmh,coolant_temp_c,intake_air_temp_c,maf_airflow_gs,throttle_position_pct,fuel_level_pct,engine_load_pct,short_fuel_trim_pct,long_fuel_trim_pct,ambient_temp_c,barometric_pressure_kpa,control_module_voltage_v
2026-06-20T10:47:35.729573+00:00,2000,0,20,18.27,2.66,6.8,78.9,49.87,-0.85,0.75,20.64,100.06,14.17
2026-06-20T10:47:40.729573+00:00,1950,0,23,19.59,1.92,7.42,77.55,47.63,-2.24,-2.71,21.1,102.57,13.93
2026-06-20T10:47:45.729573+00:00,1900,0,26,22.19,3.28,14.26,75.86,39.87,-0.01,-1.14,18.02,102.04,14.15
2026-06-20T10:47:50.729573+00:00,1850,0,29,20.38,4.94,5.99,79.57,35.64,0.45,2.01,21.09,102.06,13.96
2026-06-20T10:47:55.729573+00:00,1800,0,32,20.64,4.13,14.52,78.94,32.57,2.52,0.02,20.33,101.47,13.82
2026-06-20T10:48:00.729573+00:00,1750,0,35,21.89,2.51,5.78,76.36,43.28,-2.19,-1.9,19.98,100.08,14.2
2026-06-20T10:48:05.729573+00:00,1700,0,38,20.82,1.79,11.85,77.16,36.8,2.03,2.49,20.2,102.51,13.81
2026-06-20T10:48:10.729573+00:00,1650,0,41,23.09,4.04,5.8,77.26,49.62,1.36,0.66,20.44,101.92,13.92
2026-06-20T10:48:15.729573+00:00,1600,0,44,20.8,4.01,9.68,76.59,49.02,-1.46,1.87,21.59,100.18,14.04
2026-06-20T10:48:20.729573+00:00,1550,0,47,21.8,4.63,13.71,76.63,40.63,2.31,-1.52,19.53,102.22,14.16
2026-06-20T10:48:25.729573+00:00,1500,0,50,21.76,2.03,12.27,75.73,46.6,-0.94,-1.26,20.1,100.99,13.95
2026-06-20T10:48:30.729573+00:00,1450,0,53,24.37,1.74,9.82,75.27,35.57,1.25,1.7,20.71,100.41,14.11
2026-06-20T10:48:35.729573+00:00,1400,0,56,22.44,3.75,8.8,76.81,32.0,-2.07,-0.53,18.04,102.27,14.02
2026-06-20T10:48:40.729573+00:00,1350,0,59,19.58,1.2,9.61,79.14,34.64,1.1,1.28,21.71,101.98,14.1
2026-06-20T10:48:45.729573+00:00,1300,0,62,19.14,2.49,6.57,75.15,39.23,2.39,1.99,21.71,102.16,14.13
2026-06-20T10:48:50.729573+00:00,1250,0,65,21.06,3.16,5.84,75.81,32.96,0.76,0.64,19.48,101.66,14.02
2026-06-20T10:48:55.729573+00:00,1200,0,68,23.9,3.26,10.86,76.86,38.84,-0.39,-2.28,18.17,102.5,14.13
2026-06-20T10:49:00.729573+00:00,1150,0,71,19.69,3.81,8.55,78.72,34.4,-1.68,0.51,20.71,101.33,13.95
2026-06-20T10:49:05.729573+00:00,1100,0,74,24.62,3.31,13.86,75.29,39.7,-1.17,-1.58,20.97,100.47,13.92
2026-06-20T10:49:10.729573+00:00,1050,0,77,19.1,2.71,8.26,79.88,34.16,-2.2,-0.24,19.62,101.37,13.93
2026-06-20T10:49:15.729573+00:00,2231.77,64.45,89.51,27.03,12.47,25.72,78.0,51.21,3.7,-2.65,22.98,100.12,14.37
2026-06-20T10:49:20.729573+00:00,1829.24,68.39,90.35,24.48,14.87,33.04,77.8,46.27,-2.01,2.87,24.14,101.6,13.68
2026-06-20T10:49:25.729573+00:00,1477.36,62.53,88.57,22.75,11.77,38.95,77.6,51.61,-0.23,-2.0,25.62,100.92,13.66
2026-06-20T10:49:30.729573+00:00,2476.85,93.45,90.8,28.11,10.39,38.76,77.4,35.16,-2.59,-0.15,25.96,100.59,14.17
2026-06-20T10:49:35.729573+00:00,1919.32,72.15,90.81,27.35,13.25,25.82,77.2,47.96,0.55,-0.93,23.11,101.66,13.6
2026-06-20T10:49:40.729573+00:00,2083.42,76.84,88.22,28.01,12.2,41.33,77.0,52.18,0.59,-0.05,25.08,101.58,13.86
2026-06-20T10:49:45.729573+00:00,1287.48,65.55,92.89,30.04,10.7,25.9,76.8,52.87,-2.53,2.49,23.71,101.22,13.94
2026-06-20T10:49:50.729573+00:00,1538.9,77.07,90.85,30.77,7.05,34.41,76.6,37.3,-2.31,-3.76,23.12,100.82,13.89
2026-06-20T10:49:55.729573+00:00,1517.83,67.5,92.19,29.52,12.52,25.63,76.4,31.04,1.43,-1.1,22.31,100.19,13.82
2026-06-20T10:50:00.729573+00:00,1832.1,76.48,88.7,30.38,13.19,32.76,76.2,54.61,1.35,2.08,23.69,101.45,14.33
2026-06-20T10:50:05.729573+00:00,1787.31,75.29,89.77,29.02,10.41,22.56,76.0,39.21,0.49,-2.99,22.11,101.89,13.77
2026-06-20T10:50:10.729573+00:00,1559.13,76.75,92.76,30.41,9.46,25.5,75.8,42.58,0.68,-2.42,25.02,100.78,14.31
2026-06-20T10:50:15.729573+00:00,2365.26,78.77,88.6,29.56,5.92,39.35,75.6,50.43,0.5,1.39,25.12,100.92,13.62
2026-06-20T10:50:20.729573+00:00,2312.12,76.32,89.12,30.6,7.34,42.23,75.4,34.05,-0.6,-2.89,24.98,101.6,14.36
2026-06-20T10:50:25.729573+00:00,2243.67,84.64,87.62,30.86,7.25,32.7,75.2,40.25,-0.42,0.41,25.74,101.62,14.39
2026-06-20T10:50:30.729573+00:00,1840.19,81.02,89.75,30.96,14.39,20.92,75.0,54.16,1.04,2.5,22.87,100.89,14.14
2026-06-20T10:50:35.729573+00:00,1790.87,63.91,88.77,22.22,10.51,25.18,74.8,53.74,-2.71,2.93,25.51,101.05,13.99
2026-06-20T10:50:40.729573+00:00,2270.18,91.2,90.1,25.87,11.23,34.71,74.6,34.24,1.98,2.95,25.2,100.41,14.34
2026-06-20T10:50:45.729573+00:00,1445.47,88.34,87.81,26.01,10.6,32.77,74.4,52.39,-1.6,-1.14,25.66,101.02,13.87
2026-06-20T10:50:50.729573+00:00,2190.15,93.91,88.86,25.71,12.99,24.39,74.2,47.82,-1.12,0.4,22.48,101.3,14.08
2026-06-20T10:50:55.729573+00:00,1231.96,73.52,91.84,24.96,12.15,25.69,74.0,38.41,-1.21,-3.25,22.34,100.83,14.08
2026-06-20T10:51:00.729573+00:00,1408.12,96.45,91.17,30.74,7.34,30.26,73.8,32.12,2.07,-3.12,24.46,100.07,14.08
2026-06-20T10:51:05.729573+00:00,1495.91,65.85,87.54,25.79,8.3,26.62,73.6,41.45,-0.21,2.58,24.26,101.28,14.12
2026-06-20T10:51:10.729573+00:00,2425.54,97.64,91.8,23.68,6.43,22.63,73.4,38.96,2.91,2.29,24.76,100.15,13.89
2026-06-20T10:51:15.729573+00:00,1768.81,72.27,90.05,22.89,7.14,43.98,73.2,39.81,-2.51,-3.69,23.37,100.92,14.08
2026-06-20T10:51:20.729573+00:00,1206.41,85.95,88.67,27.39,7.7,29.1,73.0,37.63,1.16,2.58,24.03,100.12,13.77
2026-06-20T10:51:25.729573+00:00,1262.72,90.24,89.5,22.81,11.42,36.85,72.8,31.3,1.42,3.94,23.71,101.98,14.35
2026-06-20T10:51:30.729573+00:00,2397.58,79.35,87.13,26.72,13.79,28.71,72.6,39.63,3.41,-3.32,24.45,101.89,13.84
2026-06-20T10:51:35.729573+00:00,1933.91,73.7,89.99,23.1,12.19,34.55,72.4,47.65,2.67,0.14,22.93,100.7,14.03
